AreaID,FullName,Acronym,Quadrant,Class1Type,Receptor_file
7,Mount Rainier NP,mora,NW,NPS,mora2-recep.dat
85,Mount Washington Wilderness,mowa,NW,USFS,mowa-recep.dat
86,Mount Zirkel Wilderness,mozi,NW,USFS,mozi2-recep.dat
87,North Absaroka Wilderness,noab,NW,USFS,noab2-recep.dat
8,North Cascades NP,noca,NW,NPS,noca2-recep.dat
58,Okefenokee Wilderness,okef,SE,FWS,okefwild2-recep.dat
9,Olympic NP,olym,NW,NPS,olym3H2O-recep.dat
147,Otter Creek Wilderness,otcr,SE,USFS,otcr-recep.dat
88,Pasayten Wilderness,pasa,NW,USFS,pasa2-recep.dat
119,Pecos Wilderness,peco,SW,USFS,peco2-recep.dat
31,Petrified Forest NP,pefo,SW,NPS,pefo2-recep.dat
120,Pine Mountain Wilderness,pimo,SW,USFS,pimo-recep.dat
32,Pinnacles NM,pinn,SW,NPS,pinnwild2002-recep.dat
33,Point Reyes NS,pore,SW,NPS,pinnwild-recep.dat
137,Presidential Range-Dry River Wilderness,prra,NE,USFS,pore_pbwild-recep.dat
138,Rainbow Lake Wilderness,rala,NE,USFS,prra-recep.dat
89,Rawah Wilderness,rawa,NW,USFS,rala-recep.dat
47,Red Rock Lakes Wilderness,redr,NW,FWS,rawa2-recep.dat
10,Redwood NP,redw,NW,NPS,redrwild-recep.dat
11,Rocky Mountain NP,romo,NW,NPS,redw2H2O-recep.dat
0,Roosevelt Campobello International Park,roos,NE,USFS,romo2-recep.dat
50,Salt Creek Wilderness,sacr,SW,FWS,sacrwild-recep.dat
121,San Gabriel Wilderness,saga,SW,USFS,saga-recep.dat
122,San Gorgonio Wilderness,sago,SW,USFS,sago-recep.dat
34,Saguaro NP,sagu,SW,NPS,saguwild-recep.dat
123,San Jacinto Wilderness,saja,SW,USFS,saja-recep.dat
124,San Pedro Parks Wilderness,sape,SW,USFS,sape-recep.dat
125,San Rafael Wilderness,sara,SW,USFS,sara2-recep.dat
90,Sawtooth Wilderness,sawt,NW,USFS,sawt2-recep.dat
91,Scapegoat Wilderness,scap,NW,USFS,scap2-recep.dat
92,Selway-Bitterroot Wilderness,selw,NW,USFS,selw4-recep.dat
52,Seney Wilderness,sene,NE,FWS,senewild-recep.dat
35,Sequoia NP,sequ,SW,NPS,sequ2-recep.dat
44,Shenandoah NP,shen,SE,NPS,shen2-recep.dat
148,Shining Rock Wilderness,shro,SE,USFS,shro-recep.dat
126,Sierra Ancha Wilderness,sian,SW,USFS,sian-recep.dat
157,Simeonof Wilderness,sime,AK,FWS,simeRecep.dat
149,Sipsey Wilderness,sips,SE,USFS,sips-recep.dat
93,South Warner Wilderness,sowa,NW,USFS,sowa2-recep.dat
59,Saint Marks Wilderness,stma,SE,FWS,stmawild-recep.dat
94,Strawberry Mountain Wilderness,stmo,NW,USFS,stmo2-recep.dat
127,Superstition Wilderness,supe,SW,USFS,supe2-recep.dat
60,Swanquarter Wilderness,swan,SE,FWS,swanwild-recep.dat
128,Sycamore Canyon Wilderness,syca,SW,USFS,syca-recep.dat
95,Teton Wilderness,teto,NW,USFS,teto2-recep.dat
96,Thousand Lakes Wilderness,thla,NW,USFS,thla-recep.dat
12,Theodore Roosevelt NP,thro,NW,NPS,thro-recep.dat
97,Three Sisters Wilderness,thsi,NW,USFS,thsi2-recep.dat
158,Tuxedni Wilderness,tuxe,AK,FWS,tuxeRecep.dat
48,UL Bend Wilderness,ulbe,NW,FWS,ulbewild-recep.dat
150,Upper Buffalo Wilderness,upbu,SE,USFS,upbu-recep.dat
129,Ventana Wilderness,vent,SW,USFS,vent2-recep.dat
155,Virgin Islands NP,viis,SE,NPS,viis-recep.dat
40,Voyageurs NP,voya,NE,NPS,voya2-recep.dat
98,Washakie Wilderness,wash,NW,USFS,wash3-recep.dat
130,West Elk Wilderness,weel,SW,USFS,weel2-recep.dat
131,Weminuche Wilderness,wemi,SW,USFS,wemi2-recep.dat
133,White Mountain Wilderness,whmo,SW,USFS,whmo-recep.dat
132,Wheeler Peak Wilderness,whpe,SW,USFS,whpe-recep.dat
13,Wind Cave NP,wica,NW,NPS,wica-recep.dat
61,Wichita Mountains Wilderness,wich,SE,FWS,wichwild-recep.dat
62,Wolf Island Wilderness,wolf,SE,FWS,wolfwild-recep.dat
14,Yellowstone NP,yell,NW,NPS,yell4-recep.dat
99,Yolla Bolly-Middle Eel Wilderness,yobo,NW,USFS,yobo2-recep.dat
36,Yosemite NP,yose,SW,NPS,yose3-recep.dat
37,Zion NP,zion,SW,NPS,zion2-recep.dat
