Acronym,Class I Area,Jan,Feb,Mar ,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
mamo,Marble Mountain Wilderness,4.85,4.32,4.16,3.92,3.76,3.53,3.44,3.46,3.51,3.86,4.63,4.78
mabe,Maroon Bells-Snowmass Wilderness,2.89,2.82,2.52,2.49,2.45,2.04,2.22,2.57,2.54,2.26,2.71,2.8
maza,Mazatzal Wilderness,2.6,2.4,2.03,1.53,1.42,1.21,1.66,2.06,1.9,1.77,2.1,2.55
medi,Medicine Lake Wilderness,3.79,3.66,3.56,2.8,2.75,2.94,2.93,2.66,2.73,2.95,3.85,3.92
meve,Mesa Verde NP,3.4,3.1,2.61,1.95,2,1.53,2.04,2.45,2.28,2.05,2.69,3.15
ming,Mingo Wilderness,3.92,3.58,3.3,3.19,3.58,3.72,3.8,3.82,3.85,3.61,3.66,3.9
mimo,Mission Mountains Wilderness,4.24,3.79,3.38,3.1,3.08,3.04,2.68,2.59,2.96,3.48,4.17,4.26
moke,Mokelumne Wilderness,3.81,3.38,3.04,2.51,2.34,2.02,1.86,1.88,2.02,2.27,2.91,3.52
moos,Moosehorn Wilderness,3.8,3.42,3.32,3.5,3.47,3.6,3.98,4.15,4.31,4.02,3.97,3.99
moad,Mount Adams Wilderness,5.24,4.74,4.34,4.18,3.91,3.66,3.41,3.51,3.93,4.78,5.36,5.44
moba,Mount Baldy Wilderness,2.74,2.5,2.05,1.58,1.5,1.29,1.87,2.28,2.06,1.87,2.26,2.74
moho,Mount Hood Wilderness,5.16,4.67,4.33,4.18,3.87,3.61,3.29,3.38,3.78,4.67,5.29,5.33
moje,Mount Jefferson Wilderness,5.38,4.84,4.55,4.42,4.05,3.74,3.27,3.28,3.63,4.64,5.41,5.46
mora,Mount Rainier NP,5.42,4.92,4.5,4.36,4.13,3.86,3.67,3.76,4.2,5.05,5.56,5.62
mowa,Mount Washington Wilderness,5.61,5.03,4.81,4.71,4.24,3.91,3.31,3.25,3.6,4.73,5.59,5.62
mozi,Mount Zirkel Wilderness,2.85,2.83,2.61,2.61,2.67,2.24,2.1,2.23,2.38,2.31,2.75,2.78
mola,Mountain Lakes Wilderness,4.89,4.26,3.93,3.67,3.4,3.11,2.82,2.83,3.04,3.67,4.68,4.91
noab,North Absaroka Wilderness,3.18,2.97,2.83,2.66,2.64,2.35,2.02,1.89,2.16,2.53,3.03,3.13
noca,North Cascades NP,5.03,4.65,4.22,4.08,3.88,3.68,3.53,3.7,4.13,4.78,5.24,5.25
okef,Okefenokee Wilderness,4.13,3.83,3.82,3.69,3.85,4.38,4.28,4.51,4.48,4.31,4.18,4.27
olym,Olympic NP,5.27,4.87,4.61,4.51,3.94,4.12,3.76,4.16,4.51,5.17,5.51,5.46
otcr,Otter Creek Wilderness,3.63,3.4,3.34,3.06,3.67,3.82,3.98,4.19,4.23,3.78,3.51,3.76
pasa,Pasayten Wilderness,5.09,4.67,4.18,4,3.84,3.58,3.45,3.58,3.99,4.71,5.25,5.3
peco,Pecos Wilderness,2.91,2.64,2.25,1.97,2,1.78,2.15,2.57,2.44,2.09,2.56,2.83
pefo,Petrified Forest NP,2.93,2.66,2.11,1.66,1.53,1.3,1.81,2.26,2.03,1.91,2.4,2.88
pimo,Pine Mountain Wilderness,2.69,2.5,2.11,1.6,1.47,1.24,1.67,2.09,1.92,1.82,2.16,2.62
pinn,Pinnacles NM,3.94,3.97,3.99,3.12,2.94,2.67,2.54,2.63,2.65,2.8,2.96,3.36
pore,Point Reyes NS,4.2,3.88,3.72,3.25,3.12,2.88,2.96,3.01,3.05,3.12,3.48,3.9
prra,Presidential Range-Dry River Wilderness,3.6,3.28,3.31,3.36,3.45,3.66,3.92,4.14,4.27,3.99,3.83,3.72
rawa,Rawah Wilderness,2.7,2.74,2.58,2.65,2.76,2.36,2.23,2.37,2.45,2.31,2.69,2.66
redr,Red Rock Lakes Wilderness,3.51,3.18,2.91,2.67,2.63,2.41,2.06,1.94,2.2,2.63,3.29,3.46
redw,Redwood NP,4.66,4.38,4.48,4.34,4.41,4.35,4.56,4.59,4.34,4.19,4.51,4.44
romo,Rocky Mountain NP,2.44,2.56,2.47,2.64,2.75,2.37,2.26,2.36,2.41,2.2,2.51,2.41
roos,Roosevelt Campobello International Park,3.82,3.43,3.32,3.52,3.47,3.61,3.96,4.13,4.29,4.02,3.99,4.01
