!Land Use Parameters by Season (spring,summer,autumn,winter)
!SCICHEM VERSION 3.1
num_cat= 28
num_sup= 5
super_class= 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 2 3 4 2 3 2 4 4 1 2 2 2 
Roughness (m)    
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 27=Not Used 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 28=Unclassified 
   5.0e-1    1.0e+0    1.0e+0    5.0e-1   ! 1001=Urban Superclass 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 1002=Grassland Superclass
   3.0e-1    2.0e-1    3.0e-1    4.0e-1   ! 1003=Forest Superclass  
   1.0e+0    1.5e+0    2.0e+0    2.0e+0   ! 1004=Desert Superclass 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 1005=Water Superclass 

Substrate categories  8
Name       Porosity    Tortuosity    Grain size
Concrete   0.20         2.5            1.e-4
Sand       0.35         2.0            1.e-3
Aluminum   0.010        6.0            1.e-6
Artgrass   0.20         4.0            1.e-1
Asphalt    0.20         6.0            1.e-4
Glass      0.010        6.0            1.e-6
Soil       0.35         2.0            1.e-2
Water      0.35         2.0            1.e-2       0.6    1.43E-7

!ENSCO Dry Deposition Data
NUM_DEP_TYPE = 8
DEP_TYPE = 1 2 2 0 2 3 4 4 4 4 5 6 7 6 3 0 8 8 0 0 0 0 0 0 1 0 0 0 1 4 3 0 0
  TYPE = 1             !Urban and built up
  Spring    = 1000, 1000, 1000, 1000, 1000
  Summer    = 1000, 1000, 1000, 1000,    0
  EarlyFall = 1000, 1000, 1000, 1000, 1000
  Winter    =  200,  200,  200,  200,  200

  TYPE = 2             !Cropland
  Spring    =   75,  100,  150,  250,    0
  Summer    =  100,  140,  200,  500,    0
  EarlyFall =  500,  500,  500,  500,  100
  Winter    =  100,  100,  100,  100,  100

  TYPE = 3             !Mixed cover
  Spring    =  125,  200,  400, 1000,    0
  Summer    =  105,  185,  350, 1000,    0
  EarlyFall =  900,  900,  900,  900,  300
  Winter    =  750,  750,  750,  750,  750

  TYPE = 4             !Closed shrubland
  Spring    =  100,  140,  200,  400,    0
  Summer    =  100,  140,  200,  500,    0
  EarlyFall =  500,  500,  500,  500,  100
  Winter    =  100,  100,  100,  100,  100

  TYPE = 5            !Deciduous broadleaf tree
  Spring    =  100,  200,  400, 1000,    0
  Summer    =   60,  130,  300, 1000,    0
  EarlyFall = 1000, 1000, 1000, 1000,  500
  Winter    = 1000, 1000, 1000, 1000, 1000

  TYPE = 6            !Deciduous needleleaf tree
  Spring    =  150,  240,  400, 1000,    0
  Summer    =  150,  240,  400, 1000,    0
  EarlyFall =  800,  800,  800,  800,  100
  Winter    =  500,  500,  500,  500,  500

  TYPE = 7            !Evergreen broadleaf tree
  Spring    =  100,  200,  400, 1000,    0
  Summer    =   60,  130,  300, 1000,    0
  EarlyFall =  100,  200,  400, 1000,    0
  Winter    =  100,  200,  400, 1000,    0

  TYPE = 8            !Bog or marsh
  Spring    =   50,   60,   75,  100,    0
  Summer    =   50,   60,   75,  100,    0
  EarlyFall =  100,  100,  100,  100,   75
  Winter    =  100,  100,  100,  100,  100

