!Land Use Parameters by Season (spring,summer,autumn,winter)
num_cat= 28
num_sup= 5
super_class= 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 2 3 4 2 3 2 4 4 1 2 2 2 
Roughness (m)    
   1.5e+1    1.5e+1    1.5e+1    1.5e+1   ! 1001=Urban Superclass 
   5.0e-1    1.0e+0    5.0e-1    1.0e-1   ! 1002=Grassland Superclass
   2.0e+1    2.0e+1    2.0e+1    2.0e+1   ! 1003=Forest Superclass  
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 1004=Desert Superclass 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 1005=Water Superclass 
Velocity Profile Parameter Alpha        
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   !  1=Developed 
   3.0e+0    3.0e+0    3.0e+0    3.0e+0   !  2=Dry Cropland & Pasture
   2.0e+0    2.0e+0    2.0e+0    0.0e+0   !  3=Irrigated Cropland 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   !  4=Missing 
   2.5e+0    2.5e+0    2.5e+0    2.0e+0   !  5=Cropland/Grassland 
   1.0e+0    1.0e+0    1.0e+0    1.0e+0   !  6=Cropland/Woodland 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   !  7=Grassland 
   1.0e+0    1.0e+0    1.0e+0    1.0e+0   !  8=Shrubland 
   1.5e+0    1.5e+0    1.5e+0    1.5e+0   !  9=Shrubland/Grassland
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 10=Savanna 
   2.0e+0    3.0e+0    2.0e+0    1.0e+0   ! 11=Deciduous Broadleaf Forest 
   2.0e+0    3.0e+0    2.0e+0    1.0e+0   ! 12=Deciduous Needleleaf Forest 
   4.0e+0    4.0e+0    4.0e+0    4.0e+0   ! 13=Evergreen Broadleaf Forest 
   4.0e+0    4.0e+0    4.0e+0    4.0e+0   ! 14=Evergreen Needleleaf Forest 
   3.0e+0    3.5e+0    3.0e+0    2.0e+0   ! 15=Mixed Forest 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 16=Water 
   1.5e+0    1.5e+0    1.5e+0    1.0e+0   ! 17=Herbaceous Wetland 
   2.0e+0    2.0e+0    2.0e+0    1.0e+0   ! 18=Wooded Wetland 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 19=Barren 
   2.0e+0    2.0e+0    2.0e+0    0.0e+0   ! 20=Herbaceous Tundra 
   1.0e+0    1.0e+0    1.0e+0    1.0e+0   ! 21=Wooded Tundra 
   1.5e+0    1.5e+0    1.5e+0    1.0e+0   ! 22=Mixed Tundra 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 23=Bare Tundra 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 24=Snow or Ice 
   1.0e+0    1.0e+0    1.0e+0    1.0e+0   ! 25=Partly Developed 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 26=Missing 
