-104.90416666668 31.82916666667 1359
-104.88750000001 31.82916666667 1341
-104.87083333335 31.82916666667 1341
-104.85416666668 31.82916666667 1338
-104.90416666668 31.845833333337 1360
-104.88750000001 31.845833333337 1377
-104.87083333335 31.845833333337 1379
-104.85416666668 31.845833333337 1402
-104.98750000001 31.862500000003 1104
-104.97083333335 31.862500000003 1125
-104.95416666668 31.862500000003 1139
-104.92083333335 31.862500000003 1375
-104.90416666668 31.862500000003 1315
-104.88750000001 31.862500000003 1424
-104.87083333335 31.862500000003 1540
-104.85416666668 31.862500000003 1608
-105.02083333335 31.87916666667 1098
-105.00416666668 31.87916666667 1097
-104.98750000001 31.87916666667 1109
-104.97083333335 31.87916666667 1127
-104.95416666668 31.87916666667 1166
-104.93750000001 31.87916666667 1207
-104.92083333335 31.87916666667 1272
-104.90416666668 31.87916666667 1349
-104.88750000001 31.87916666667 1463
-104.87083333335 31.87916666667 1706
-104.85416666668 31.87916666667 2061
-104.83750000001 31.87916666667 1829
-105.02083333335 31.895833333337 1100
-105.00416666668 31.895833333337 1099
-104.98750000001 31.895833333337 1111
-104.97083333335 31.895833333337 1126
-104.95416666668 31.895833333337 1158
-104.93750000001 31.895833333337 1217
-104.92083333335 31.895833333337 1265
-104.90416666668 31.895833333337 1351
-104.88750000001 31.895833333337 1677
-104.87083333335 31.895833333337 2095
-104.85416666668 31.895833333337 2271
-104.83750000001 31.895833333337 2043
-104.82083333335 31.895833333337 1755
-104.80416666668 31.895833333337 1677
-104.78750000001 31.895833333337 1616
-105.02083333335 31.912500000003 1097
-105.00416666668 31.912500000003 1101
-104.98750000001 31.912500000003 1115
-104.97083333335 31.912500000003 1125
-104.95416666668 31.912500000003 1150
-104.93750000001 31.912500000003 1205
-104.92083333335 31.912500000003 1279
-104.90416666668 31.912500000003 1534
-104.88750000001 31.912500000003 2028
-104.87083333335 31.912500000003 2369
-104.85416666668 31.912500000003 2084
-104.83750000001 31.912500000003 2264
-104.82083333335 31.912500000003 2141
-104.80416666668 31.912500000003 1755
-104.78750000001 31.912500000003 1645
-105.02083333335 31.92916666667 1097
-105.00416666668 31.92916666667 1098
-104.98750000001 31.92916666667 1114
-104.97083333335 31.92916666667 1128
-104.95416666668 31.92916666667 1162
-104.93750000001 31.92916666667 1227
-104.92083333335 31.92916666667 1352
-104.90416666668 31.92916666667 1799
-104.88750000001 31.92916666667 2061
-104.87083333335 31.92916666667 2508
-104.85416666668 31.92916666667 2334
-104.83750000001 31.92916666667 2390
-104.82083333335 31.92916666667 2316
-104.80416666668 31.92916666667 2251
-104.78750000001 31.92916666667 1789
-105.00416666668 31.945833333337 1099
-104.98750000001 31.945833333337 1109
-104.97083333335 31.945833333337 1127
-104.95416666668 31.945833333337 1158
-104.93750000001 31.945833333337 1218
-104.92083333335 31.945833333337 1433
-104.90416666668 31.945833333337 1666
-104.88750000001 31.945833333337 2202
-104.87083333335 31.945833333337 2438
-104.85416666668 31.945833333337 2255
-104.83750000001 31.945833333337 2236
-104.82083333335 31.945833333337 2438
-104.80416666668 31.945833333337 2239
-104.78750000001 31.945833333337 2211
-104.77083333335 31.945833333337 1688
-104.73750000001 31.945833333337 1516
-104.95416666668 31.962500000003 1143
-104.93750000001 31.962500000003 1206
-104.92083333335 31.962500000003 1604
-104.90416666668 31.962500000003 1947
-104.88750000001 31.962500000003 2080
-104.87083333335 31.962500000003 2084
-104.85416666668 31.962500000003 2126
-104.83750000001 31.962500000003 2308
-104.82083333335 31.962500000003 2013
-104.80416666668 31.962500000003 1897
-104.78750000001 31.962500000003 1800
-104.77083333335 31.962500000003 1732
-104.95416666668 31.97916666667 1144
-104.93750000001 31.97916666667 1269
-104.92083333335 31.97916666667 1709
-104.90416666668 31.97916666667 1951
-104.88750000001 31.97916666667 1961
-104.87083333335 31.97916666667 1950
-104.85416666668 31.97916666667 2180
-104.83750000001 31.97916666667 2069
-104.82083333335 31.97916666667 2265
-104.80416666668 31.97916666667 2251
-104.78750000001 31.97916666667 1791
-104.77083333335 31.97916666667 1851
-104.75416666668 31.97916666667 1575
-104.95416666668 31.995833333337 1188
-104.93750000001 31.995833333337 1407
-104.92083333335 31.995833333337 1932
-104.90416666668 31.995833333337 1888
-104.88750000001 31.995833333337 1914
-104.87083333335 31.995833333337 1919
-104.85416666668 31.995833333337 2095
-104.83750000001 31.995833333337 1921
-104.82083333335 31.995833333337 2164
-104.80416666668 31.995833333337 1959
-104.78750000001 31.995833333337 1841
-104.77083333335 31.995833333337 2063
-104.75416666668 31.995833333337 1927
